model,dataset,ablation,seed,missing_rate,lambda_ent,norm_variant,width,bl_d_model,bl_d_ff,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
XAI-MeteoFormer,jena,no_revin,0,0.0,0.01,off,default,,,1890939,433.6,4.26,0.1405759636200551,19,48,24,256,2,0.0005,2.9802753925323486,5.181231498718262,26.84516143798828,21.21958351135254,0.686717689037323,1.930492162704468,2.5252695083618164,7.042963981628418,9.483854293823242,10.244950294494627,2.1068735122680664,3.0958776473999023,0.2127649933099746,0.8407714366912842,1.214788556098938,1.049866795539856,1.8506444692611688,2.435342311859131,4.4531354904174805,3.174834728240967,5.435703277587891,3.824580669403076,6.117154121398926,0.9433188831565874,0.5668901576659159,0.8983937243182667,0.6951425130469691,0.9815358207653976,0.8132506417278507,0.0719314273430782
XAI-MeteoFormer,jena,no_revin,2,0.0,0.01,off,default,,,1890939,422.3,3.79,0.1427752828627219,19,48,24,256,2,0.0005,2.998598575592041,5.22662878036499,27.3176498413086,21.293643951416016,0.685012936592102,1.8875690698623653,2.4995038509368896,7.065810203552246,9.558442115783691,10.12409210205078,2.194769382476806,3.193078994750977,0.2216235250234604,0.8462466597557068,1.2097642421722412,1.151081919670105,2.044036626815796,2.480031490325928,4.456004619598389,3.1803791522979736,5.429275989532471,3.8229360580444336,6.1363396644592285,0.9516247492118084,0.619530965943522,0.8486697380982028,0.716219766362506,0.9802673707153584,0.8024959350492524,0.0719314273430782
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,1,0.0,0.01,off,default,,,1890683,188.1,2.33,0.1570933690281067,17,48,24,256,2,0.0005,4.103058338165283,8.14523696899414,66.34487915039062,26.043981552124023,0.6584004163742065,2.0031659603118896,2.611154317855835,11.562162399291992,15.75934600830078,27.953514099121097,2.173663854598999,3.047269105911255,0.2141197621822357,0.6732466816902161,0.9584238529205322,1.9188103675842283,3.5252065658569336,3.4385132789611816,6.770126819610596,4.358322143554688,8.565117835998535,5.121103286743164,9.652996063232422,0.9010034087090116,0.6401390413465057,0.9735670562047858,0.7724061810154526,0.9777506075837724,0.8927362574469023,0.1725478899611119
XAI-MeteoFormer,jena,no_revin,1,0.0,0.01,off,default,,,1890939,413.7,4.47,0.1418615177106297,18,48,24,256,2,0.0005,2.971842765808105,5.164857864379883,26.67575454711914,21.616649627685547,0.6830021142959595,1.9418014287948608,2.539006233215332,6.987480640411377,9.429454803466797,10.20889663696289,2.1214253902435303,3.1361708641052246,0.2141890823841095,0.8366658091545105,1.2273056507110596,1.087295651435852,1.9318687915802,2.47562837600708,4.45587682723999,3.109081745147705,5.350281238555908,3.865500450134277,6.164053916931152,0.9414648418840164,0.557940135843599,0.896691985223924,0.6878721304167861,0.9806457435218408,0.8081572842300575,0.0719314273430782
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,0,0.0,0.01,off,default,,,1890683,204.9,2.41,0.1579739629831897,18,48,24,256,2,0.0005,3.9945104122161865,7.977872848510742,63.64645385742188,25.669219970703125,0.6686949729919434,1.928298830986023,2.545785665512085,11.312973976135254,15.43849277496338,26.85320281982422,2.068784236907959,2.97646164894104,0.2037434130907058,0.6679853200912476,0.9478307962417604,1.7521804571151731,3.4054179191589355,3.293020248413086,6.724300384521484,4.107802391052246,8.105777740478516,5.189915180206299,9.735729217529297,0.910347352249268,0.6672802577082375,0.9581942125765164,0.7867045503219635,0.97684547207846,0.8902104751365884,0.1725478899611119
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,2,0.0,0.01,off,default,,,1890683,169.7,2.48,0.1625287708366802,15,48,24,256,2,0.0005,4.097598075866699,8.018444061279297,64.29544067382812,26.141361236572266,0.6620301604270935,1.944540739059448,2.532008171081543,11.416379928588867,15.46567153930664,27.210498809814453,2.356003999710083,3.267059087753296,0.2321381419897079,0.673470675945282,0.953938364982605,1.90952730178833,3.615893840789795,3.43399429321289,6.739320278167725,4.322566986083984,8.348655700683594,5.100188255310059,9.486616134643556,0.8968145374237841,0.6299177195269997,0.9745409015025042,0.7652183412076358,0.9767196202867042,0.8852014865761331,0.1725478899611119
XAI-MeteoFormer,jena,no_revin,3,0.0,0.01,off,default,,,1890939,429.1,4.33,0.1405312523853364,19,48,24,256,2,0.0005,2.993155002593994,5.222427368164063,27.27374649047852,21.281475067138672,0.6867466568946838,1.8522249460220337,2.456348180770874,7.167800426483154,9.58958911895752,10.547466278076172,2.1036646366119385,3.103614330291748,0.212446317076683,0.8489305377006531,1.211902141571045,1.1119811534881592,1.9613865613937376,2.495178699493408,4.525623798370361,3.1663620471954346,5.462213039398193,3.842476129531861,6.209132671356201,0.9221869924524696,0.4792509268621503,0.9442991740339518,0.6358135960315797,0.9805958535659708,0.8058847348787775,0.0719314273430782
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,3,0.0,0.01,off,default,,,1890683,152.0,2.34,0.1593106767366026,14,48,24,256,2,0.0005,4.245227813720703,8.173104286193848,66.79963684082031,26.369688034057617,0.6539319753646851,1.9938580989837649,2.631845712661743,11.69639778137207,15.723450660705566,28.611595153808597,2.6215388774871826,3.483145952224731,0.2584808468818664,0.669119656085968,0.9553770422935486,2.164260149002075,3.918989658355713,3.6807122230529785,6.981824398040772,4.416804790496826,8.458446502685547,5.276828765869141,9.78306770324707,0.8875246051178645,0.608408421417432,0.976940734557596,0.7498398291510945,0.9748654875930276,0.8750425838339317,0.1725478899611119
XAI-MeteoFormer,jena,no_revin,4,0.0,0.01,off,default,,,1890939,434.5,4.01,0.1425456917768097,19,48,24,256,2,0.0005,3.027315139770508,5.231867790222168,27.3724422454834,21.17277908325196,0.6826738715171814,1.866876482963562,2.4824838638305664,7.025420665740967,9.528419494628906,10.149380683898926,2.372737169265747,3.327594757080078,0.239423781633377,0.8442266583442688,1.209697127342224,1.1045571565628052,1.8755857944488523,2.5150394439697266,4.537576675415039,3.209469079971313,5.487174987792969,3.887362718582153,6.174324035644531,0.9402556845323398,0.5526736863838133,0.8888473830573196,0.6815614009961649,0.980048507904918,0.8040605932258222,0.0719314273430782
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,4,0.0,0.01,off,default,,,1890683,170.1,2.22,0.1580222364683165,17,48,24,256,2,0.0005,4.09362268447876,8.090815544128418,65.46129608154297,26.158241271972656,0.6654667258262634,1.9540328979492188,2.502068042755127,11.561440467834473,15.662516593933104,28.2779598236084,2.190891027450561,3.061802864074707,0.215909719467163,0.6681296229362488,0.9464503526687622,1.7334206104278564,3.3580753803253174,3.417299747467041,6.78755521774292,4.274335861206055,8.339076042175293,5.113916397094727,9.657228469848633,0.9222598300446492,0.7078027991160686,0.9357609905397886,0.8059732790126416,0.976922697316378,0.8875716540486478,0.1725478899611119
