model,dataset,ablation,seed,missing_rate,lambda_ent,norm_variant,width,bl_d_model,bl_d_ff,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
XAI-MeteoFormer,jena,no_revin,1,0.0,0.01,off,default,,,1890171,617.4,3.09,0.1382351611127805,30,24,24,256,2,0.0005,2.934491872787476,5.135054111480713,26.36878204345703,20.964529037475582,0.6930425763130188,1.793748378753662,2.386178731918335,7.001264572143555,9.422890663146973,10.32839012145996,2.095919609069824,3.08746075630188,0.2116789817810058,0.8470351696014404,1.207486867904663,0.9913170337677002,1.759138822555542,2.392155647277832,4.350642204284668,3.130711078643799,5.366815567016602,3.80956506729126,6.174595355987549,0.943729136862184,0.5714168287804477,0.8656041173784916,0.6883974253177092,0.9791843329454912,0.7982214253382843,0.0718079399141631
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,2,0.0,0.01,off,default,,,1889915,214.5,2.09,0.1585678770797864,20,24,24,256,2,0.0005,3.99715518951416,7.910797595977783,62.58071899414063,25.93601417541504,0.6670719385147095,1.922213077545166,2.516446352005005,11.318461418151855,15.29633617401123,26.68590545654297,2.076864242553711,3.0165717601776123,0.2045828104019165,0.671080470085144,0.9553737044334412,1.5038604736328125,2.925349235534668,3.256579875946045,6.536066055297852,4.331834316253662,8.394378662109375,5.0465826988220215,9.32447910308838,0.9056265250466484,0.652791519434629,0.9637938230383972,0.7783770118816887,0.9772852908161184,0.8902506630252098,0.1719534950480838
XAI-MeteoFormer,jena,no_revin,0,0.0,0.01,off,default,,,1890171,542.1,3.11,0.1387281892982987,26,24,24,256,2,0.0005,2.9499051570892334,5.136826992034912,26.386993408203125,21.23265647888184,0.6926228404045105,1.8744980096817017,2.466484785079956,6.9539947509765625,9.394317626953123,10.041258811950684,2.1316733360290527,3.125012159347534,0.2151801735162735,0.839453399181366,1.2023005485534668,1.0277379751205444,1.7823859453201294,2.43323278427124,4.425789833068848,3.139798402786255,5.382307529449463,3.807799816131592,6.089691638946533,0.9456932522651408,0.5810199238368563,0.8739052836923588,0.6979827949147205,0.9798531315029732,0.8032129728273791,0.0718079399141631
XAI-MeteoFormer,jena,no_revin,2,0.0,0.01,off,default,,,1890171,464.9,2.93,0.140083907646236,23,24,24,256,2,0.0005,2.936115503311157,5.148350238800049,26.50550842285156,21.00634956359864,0.6916502714157104,1.81987738609314,2.4314157962799072,6.997573852539063,9.445130348205566,10.1766939163208,2.086585283279419,3.07200574874878,0.2107724994421005,0.8404279351234436,1.2093499898910522,0.994958519935608,1.8275507688522337,2.4497315883636475,4.472098350524902,3.112041711807251,5.367491722106934,3.780117750167847,6.1111040115356445,0.9437619217930376,0.5691005291005291,0.8928734487195451,0.6951351526020714,0.981095189051262,0.8119454803603388,0.0718079399141631
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,0,0.0,0.01,off,default,,,1889915,276.3,2.07,0.158664795584884,27,24,24,256,2,0.0005,4.049843788146973,8.097944259643555,65.57669830322266,26.547388076782227,0.6605266332626343,2.0164928436279297,2.644801139831543,11.413737297058104,15.670974731445312,27.077800750732425,2.0994112491607666,2.969048261642456,0.206863135099411,0.6697345972061157,0.9576541781425476,1.5680310726165771,3.030290603637696,3.228245735168457,6.491380214691162,4.252591609954834,8.292675018310547,5.301422119140625,10.001117706298828,0.8998433089325869,0.6369464534233762,0.9709933222036728,0.7692710414284336,0.9784452085937576,0.8983648509911493,0.1719534950480838
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,1,0.0,0.01,off,default,,,1889915,171.7,2.04,0.1564669974598453,17,24,24,256,2,0.0005,4.113056659698486,8.099431037902832,65.60078430175781,26.64115524291992,0.6598677635192871,2.0136265754699707,2.6579627990722656,11.483259201049805,15.63943099975586,27.81689453125,2.287440299987793,3.136091709136963,0.2253863960504531,0.6679018139839172,0.9547930359840392,1.8068026304244995,3.218813896179199,3.546909809112549,7.019237995147705,4.377756118774414,8.60657024383545,5.186851978302002,9.606317520141602,0.8733134778240276,0.5767102462754636,0.9895659432387311,0.7287256521572093,0.9775501001471302,0.8876076814236482,0.1719534950480838
XAI-MeteoFormer,jena,no_revin,3,0.0,0.01,off,default,,,1890171,292.5,3.43,0.1402211220409488,16,24,24,256,2,0.0005,2.966789960861206,5.205909729003906,27.10149383544922,21.47710418701172,0.6915475130081177,1.920212149620056,2.523883104324341,7.059871196746826,9.557811737060549,10.257617950439451,2.030600547790528,3.041015863418579,0.2050987184047699,0.8564752340316772,1.1985102891921997,1.1382920742034912,1.9732517004013064,2.4757747650146484,4.513852596282959,3.142153739929199,5.406391620635986,3.834414005279541,6.207680702209473,0.9213191463996184,0.4759109142570616,0.9454613373178932,0.6331281181816918,0.980173690073516,0.8047908418106119,0.0718079399141631
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,3,0.0,0.01,off,default,,,1889915,190.7,1.94,0.1582468994075971,19,24,24,256,2,0.0005,4.052361965179443,8.154458045959473,66.49518585205078,25.641023635864254,0.6633252501487732,1.902326583862305,2.497663974761963,11.566100120544434,15.80092716217041,29.461803436279297,2.0748560428619385,3.028980731964112,0.2043806463479995,0.6661691069602966,0.9478251934051514,1.5604327917099,3.03377914428711,3.261437177658081,6.641147613525391,4.239185333251953,8.348174095153809,5.275821685791016,10.00082778930664,0.9190529161284148,0.6932611953567528,0.9492557039510297,0.8013094346824033,0.9776941617627144,0.8918233036567793,0.1719534950480838
XAI-MeteoFormer,jena,no_revin,4,0.0,0.01,off,default,,,1890171,494.5,2.9,0.1370242621506278,25,24,24,256,2,0.0005,2.9125306606292725,5.10745906829834,26.086137771606445,20.879621505737305,0.6943137645721436,1.8087934255599976,2.401628971099853,6.947308540344238,9.371344566345217,10.179439544677734,2.0480170249938965,3.0486979484558105,0.2068428099155426,0.8460077047348022,1.208331823348999,0.9690275192260742,1.7803767919540403,2.3620388507843018,4.303781986236572,3.110104560852051,5.341888427734375,3.797833442687988,6.122895240783691,0.9517256795422032,0.6213648939440517,0.8389573735109783,0.7139501615951115,0.9805695128238548,0.8007475047274585,0.0718079399141631
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,4,0.0,0.01,off,default,,,1889915,178.7,1.63,0.1581471491476882,22,24,24,256,2,0.0005,4.076748847961426,8.074676513671875,65.20039367675781,25.361791610717773,0.6683118343353271,1.867862701416016,2.477755784988404,11.51132106781006,15.62285614013672,27.840944290161133,2.269916296005249,3.115483283996582,0.2237716615200042,0.6578941345214844,0.9393691420555116,1.7259540557861328,3.3442492485046387,3.370303153991699,6.776348114013672,4.33043384552002,8.467517852783203,5.240353107452393,9.726930618286133,0.9135687287689584,0.6749363867684478,0.9594462993878686,0.7924278984258302,0.978593903222137,0.8942664265912403,0.1719534950480838
