model,dataset,ablation,seed,missing_rate,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
Autoformer,jena,full,0,0.0,3.833132982254028,6.039395809173584,2.611082077026367,3.3136208057403564,8.109057426452637,10.541171073913574,3.643383741378784,4.69232702255249,0.9690098762512208,1.335265040397644
Autoformer,jena,full,0,0.05,3.8376758098602295,6.046383380889893,2.612987279891968,3.3169844150543213,8.121535301208496,10.554754257202148,3.6463661193847656,4.6949944496154785,0.969815194606781,1.3367021083831787
Autoformer,jena,full,0,0.1,3.8428163528442383,6.0534844398498535,2.6139814853668213,3.318601131439209,8.132558822631836,10.566883087158203,3.653627872467041,4.702596664428711,0.971095860004425,1.3387022018432615
Autoformer,jena,full,0,0.2,3.853372812271118,6.0710272789001465,2.6161441802978516,3.322979688644409,8.161116600036621,10.598034858703612,3.6630630493164062,4.719029903411865,0.973163366317749,1.341524600982666
Autoformer,jena,full,1,0.0,4.129242897033691,6.449843883514404,3.052367687225342,3.796330690383911,8.649270057678223,11.157137870788574,3.847077608108521,5.076956748962402,0.9682521224021912,1.3162946701049805
Autoformer,jena,full,1,0.05,4.1353440284729,6.456676483154297,3.0507960319519043,3.7950186729431152,8.659985542297363,11.165780067443848,3.861075639724731,5.093331336975098,0.9695202112197876,1.3174850940704346
Autoformer,jena,full,1,0.1,4.1400861740112305,6.463283538818359,3.050059080123902,3.7954061031341553,8.666643142700195,11.17187786102295,3.8726110458374023,5.112773895263672,0.9710266590118408,1.318989634513855
Autoformer,jena,full,1,0.2,4.158228397369385,6.485678195953369,3.05428147315979,3.804118633270264,8.696982383728027,11.19981575012207,3.906792163848877,5.156691551208496,0.9748582243919371,1.3256947994232178
Autoformer,jena,full,2,0.0,3.9558568000793457,6.182114124298096,3.1057441234588623,3.908860921859741,8.243906021118164,10.67465877532959,3.525213718414306,4.67905855178833,0.9485654830932616,1.324017882347107
Autoformer,jena,full,2,0.05,3.9587674140930176,6.185612678527832,3.105170249938965,3.908970594406128,8.252824783325195,10.68076515197754,3.5277366638183594,4.683310508728027,0.9493388533592224,1.3247525691986084
Autoformer,jena,full,2,0.1,3.962597131729126,6.194125652313232,3.1064906120300293,3.912156581878662,8.26520824432373,10.698556900024414,3.528536796569824,4.684838771820068,0.950148105621338,1.3255252838134766
Autoformer,jena,full,2,0.2,3.974198341369629,6.210779190063477,3.1064181327819824,3.91469931602478,8.289244651794434,10.723506927490234,3.5494275093078613,4.713075637817383,0.9517053365707396,1.3279781341552734
Autoformer,jena,full,3,0.0,3.961820125579834,6.222841262817383,2.816803455352783,3.5189003944396973,8.322937965393066,10.765772819519045,3.7360894680023193,4.981394290924072,0.9714421033859252,1.3402466773986816
Autoformer,jena,full,3,0.05,3.965271472930908,6.226362228393555,2.819633722305298,3.522167205810547,8.329485893249512,10.771042823791504,3.7399861812591553,4.985012531280518,0.9719810485839844,1.341254711151123
Autoformer,jena,full,3,0.1,3.9688570499420166,6.229089260101318,2.8216476440429688,3.524179697036743,8.336214065551758,10.774054527282717,3.745203971862793,4.990550518035889,0.9723637104034424,1.341848373413086
Autoformer,jena,full,3,0.2,3.9780619144439697,6.2404046058654785,2.8243465423583984,3.5280396938323975,8.360547065734863,10.792990684509276,3.75336241722107,5.002706527709961,0.9739891290664672,1.3445377349853516
Autoformer,jena,full,4,0.0,4.062866687774658,6.448824882507324,2.931818962097168,3.6715476512908936,8.690518379211426,11.276342391967772,3.6680383682250977,4.892883777618408,0.961091160774231,1.33150053024292
Autoformer,jena,full,4,0.05,4.064662456512451,6.4513325691223145,2.92445969581604,3.664149045944214,8.693643569946289,11.278526306152344,3.678210496902466,4.906017780303955,0.9623300433158876,1.3336576223373413
Autoformer,jena,full,4,0.1,4.067508697509766,6.456366539001465,2.9196345806121826,3.660347461700439,8.705925941467285,11.289664268493652,3.681037187576294,4.909077167510986,0.9634354114532472,1.3360198736190796
Autoformer,jena,full,4,0.2,4.0785322189331055,6.475255489349365,2.910243034362793,3.6520302295684814,8.740290641784668,11.325743675231934,3.697534322738647,4.930234432220459,0.9660585522651672,1.341161012649536
Crossformer,jena,full,0,0.0,3.0843255519866943,5.159168243408203,2.3622353076934814,2.953967809677124,7.006467342376709,9.307774543762209,2.136756658554077,3.104732036590576,0.8318455219268799,1.2116643190383911
Crossformer,jena,full,0,0.05,3.092210054397583,5.170933246612549,2.365309476852417,2.957979202270508,7.025750160217285,9.32967758178711,2.144603490829468,3.1127655506134033,0.8331790566444397,1.2134088277816772
Crossformer,jena,full,0,0.1,3.101367473602295,5.1850457191467285,2.3696401119232178,2.962733030319214,7.047586441040039,9.355291366577148,2.1544337272644043,3.1249377727508545,0.8338109850883484,1.2142083644866943
Crossformer,jena,full,0,0.2,3.1250016689300537,5.220485210418701,2.3821399211883545,2.9773402214050293,7.098996639251709,9.418055534362791,2.1819589138031006,3.1568603515625,0.8369130492210388,1.2180945873260498
Crossformer,jena,full,1,0.0,3.10341477394104,5.194863319396973,2.553022861480713,3.2941083908081055,6.897650241851807,9.27104663848877,2.133199691772461,3.1092517375946045,0.82978755235672,1.2147141695022583
Crossformer,jena,full,1,0.05,3.1111881732940674,5.205054759979248,2.556971788406372,3.2983012199401855,6.91585636138916,9.289226531982422,2.1410932540893555,3.118105173110962,0.8308314085006714,1.216259479522705
Crossformer,jena,full,1,0.1,3.1200292110443115,5.2175140380859375,2.5610220432281494,3.3036181926727295,6.9365973472595215,9.311894416809082,2.150825023651123,3.1278300285339355,0.8316739201545715,1.217067837715149
Crossformer,jena,full,1,0.2,3.14090347290039,5.242378234863281,2.575873374938965,3.3197503089904785,6.981276512145996,9.354357719421388,2.1717026233673096,3.1484057903289795,0.8347613215446472,1.221851110458374
Crossformer,jena,full,2,0.0,3.129002571105957,5.171123027801514,2.603040933609009,3.197526216506958,6.843099117279053,9.2249755859375,2.2417526245117188,3.1906514167785645,0.8281193971633911,1.2072501182556152
Crossformer,jena,full,2,0.05,3.135789632797241,5.181332111358643,2.606687068939209,3.2021281719207764,6.8596673011779785,9.243626594543455,2.247746467590332,3.197863817214966,0.8290596008300781,1.2083680629730225
Crossformer,jena,full,2,0.1,3.1434497833251953,5.1914520263671875,2.6104533672332764,3.20711350440979,6.878464698791504,9.261634826660156,2.25475811958313,3.205942392349243,0.8301246762275696,1.209630250930786
Crossformer,jena,full,2,0.2,3.1664345264434814,5.221542835235596,2.6209492683410645,3.2189583778381348,6.933437824249268,9.314867973327637,2.278891086578369,3.233858108520508,0.8324590921401978,1.2131688594818115
Crossformer,jena,full,3,0.0,3.099489212036133,5.136058807373047,2.515026330947876,3.12705659866333,6.955880641937256,9.220145225524902,2.0804009437561035,3.04891586303711,0.8466469049453735,1.1962158679962158
Crossformer,jena,full,3,0.05,3.10713267326355,5.147078037261963,2.5171825885772705,3.1294872760772705,6.975559711456299,9.241278648376465,2.088320732116699,3.056417226791382,0.8474651575088501,1.197076678276062
Crossformer,jena,full,3,0.1,3.116499423980713,5.159513473510742,2.5224008560180664,3.135687828063965,6.997237682342529,9.263094902038574,2.0974175930023193,3.067172050476074,0.8489452004432678,1.198905110359192
Crossformer,jena,full,3,0.2,3.1398189067840576,5.1891021728515625,2.533363103866577,3.1489179134368896,7.048545837402344,9.31348705291748,2.125600814819336,3.098909854888916,0.8517649173736572,1.20297110080719
Crossformer,jena,full,4,0.0,3.120033025741577,5.1697163581848145,2.6193833351135254,3.23929500579834,6.933000087738037,9.244986534118652,2.097515106201172,3.079632520675659,0.8302323222160339,1.2070409059524536
Crossformer,jena,full,4,0.05,3.129631757736206,5.181774616241455,2.6233372688293457,3.243635892868042,6.9559645652771,9.266653060913086,2.1077888011932373,3.0905141830444336,0.8314349055290222,1.208240270614624
Crossformer,jena,full,4,0.1,3.1396172046661377,5.195357799530029,2.6267952919006348,3.2479782104492188,6.981296062469482,9.29139232635498,2.1175904273986816,3.1021323204040527,0.832783579826355,1.210115909576416
Crossformer,jena,full,4,0.2,3.1611571311950684,5.227877616882324,2.6335928440093994,3.257143259048462,7.038122653961182,9.353137016296388,2.1378114223480225,3.124403476715088,0.8351051807403564,1.2127652168273926
DLinear,jena,full,0,0.0,3.4168264865875244,5.750926494598389,2.1205122470855713,2.7976887226104736,7.700413703918457,10.318700790405272,2.9191408157348633,4.038729667663574,0.9272394180297852,1.2956141233444214
DLinear,jena,full,0,0.05,3.4264256954193115,5.762749195098877,2.126339912414551,2.802570343017578,7.725399494171143,10.341534614562988,2.924156188964844,4.04324197769165,0.9298086166381836,1.299053430557251
DLinear,jena,full,0,0.1,3.4374921321868896,5.77741813659668,2.1356546878814697,2.812236785888672,7.753419876098633,10.369043350219728,2.9296679496765137,4.049285411834717,0.9312248826026917,1.3006854057312012
DLinear,jena,full,0,0.2,3.463761568069458,5.812921047210693,2.1560261249542236,2.83133316040039,7.820234775543213,10.436944007873535,2.943326234817505,4.063326358795166,0.935460925102234,1.3051366806030271
DLinear,jena,full,1,0.0,3.419029951095581,5.758444786071777,2.1094393730163574,2.778848886489868,7.708820819854736,10.338272094726562,2.9299819469451904,4.043417453765869,0.9278756380081176,1.2990933656692505
DLinear,jena,full,1,0.05,3.428903341293335,5.771190643310547,2.116687297821045,2.7866134643554688,7.734601974487305,10.362396240234377,2.9349911212921143,4.048363208770752,0.929328203201294,1.30109703540802
DLinear,jena,full,1,0.1,3.439802646636963,5.787500858306885,2.123538017272949,2.7938921451568604,7.763908386230469,10.394200325012209,2.940786838531494,4.054323196411133,0.9309749603271484,1.3030447959899902
DLinear,jena,full,1,0.2,3.4650189876556396,5.819314956665039,2.144855260848999,2.81505823135376,7.825756072998047,10.453615188598633,2.953101634979248,4.066335201263428,0.9363617300987244,1.3114732503890991
DLinear,jena,full,2,0.0,3.4300718307495117,5.765915870666504,2.1199636459350586,2.7872025966644287,7.710636615753174,10.335618019104004,2.9638350009918213,4.087923049926758,0.9258537292480468,1.295602798461914
DLinear,jena,full,2,0.05,3.438708543777466,5.778489112854004,2.1259191036224365,2.79288649559021,7.7333173751831055,10.36013889312744,2.968247890472412,4.092417240142822,0.9273501634597778,1.2973649501800537
DLinear,jena,full,2,0.1,3.448093891143799,5.791471004486084,2.1327133178710938,2.799852132797241,7.756473541259766,10.384851455688477,2.973369598388672,4.097430229187012,0.9298155903816224,1.3005175590515137
DLinear,jena,full,2,0.2,3.4742729663848877,5.827371120452881,2.151094675064087,2.819133996963501,7.826871395111084,10.454039573669434,2.9852585792541504,4.110000133514404,0.9338645935058594,1.306308627128601
DLinear,jena,full,3,0.0,3.434999942779541,5.771246433258057,2.119568347930908,2.788181781768799,7.735783100128174,10.353090286254885,2.9592196941375732,4.073182582855225,0.925428569316864,1.2953263521194458
DLinear,jena,full,3,0.05,3.442396879196167,5.781709671020508,2.1240339279174805,2.792386531829834,7.755118370056152,10.373454093933104,2.963653564453125,4.077374458312988,0.926777482032776,1.2968218326568604
DLinear,jena,full,3,0.1,3.451281785964966,5.793693542480469,2.130305051803589,2.799429178237915,7.777894020080566,10.396200180053713,2.96816086769104,4.081962585449219,0.9287681579589844,1.298977017402649
DLinear,jena,full,3,0.2,3.4733431339263916,5.8223114013671875,2.1467690467834473,2.81687068939209,7.833059310913086,10.449678421020508,2.9803411960601807,4.094512939453125,0.9331990480422974,1.304492473602295
DLinear,jena,full,4,0.0,3.414215326309204,5.745483875274658,2.117897272109986,2.7962117195129395,7.689899921417236,10.309534072875977,2.9222846031188965,4.032057285308838,0.9267784357070924,1.295979142189026
DLinear,jena,full,4,0.05,3.4244425296783447,5.7575883865356445,2.125338315963745,2.803328514099121,7.715387344360352,10.331953048706056,2.928187131881714,4.038177013397217,0.928853452205658,1.29789400100708
DLinear,jena,full,4,0.1,3.435172319412231,5.771553993225098,2.1322271823883057,2.8102519512176514,7.743346214294434,10.358480453491213,2.9338839054107666,4.044284343719482,0.9312349557876588,1.300559401512146
DLinear,jena,full,4,0.2,3.4608495235443115,5.8096771240234375,2.148722887039185,2.8257389068603516,7.813216209411621,10.433845520019531,2.9459707736968994,4.056548595428467,0.9354907274246216,1.3053317070007324
Informer,jena,full,0,0.0,3.399862051010132,5.617618083953857,2.717193841934204,3.419564723968506,7.42694616317749,10.006872177124023,2.6057238578796387,3.5957295894622803,0.8495838046073914,1.2125636339187622
Informer,jena,full,0,0.05,3.394641399383545,5.60878849029541,2.71954083442688,3.4216389656066895,7.411421775817871,9.99032497406006,2.5973122119903564,3.5842394828796387,0.8502901792526245,1.213685154914856
Informer,jena,full,0,0.1,3.4086790084838867,5.626828193664551,2.726935863494873,3.4308955669403076,7.444594383239746,10.021516799926758,2.6125943660736084,3.6011948585510254,0.8505914807319641,1.2142263650894165
Informer,jena,full,0,0.2,3.4173905849456787,5.637555122375488,2.730741262435913,3.43548846244812,7.460895538330078,10.040607452392578,2.6251723766326904,3.6096982955932617,0.8527489900588989,1.2172847986221311
Informer,jena,full,1,0.0,3.423623561859131,5.5453033447265625,2.966607570648194,3.732258558273315,7.176589012145996,9.676759719848633,2.7073493003845215,3.731855630874634,0.8439446091651917,1.2269446849822998
Informer,jena,full,1,0.05,3.4216833114624023,5.542729377746582,2.961360216140747,3.725669860839844,7.160373210906982,9.665620803833008,2.720824718475342,3.7518880367279057,0.8441784381866455,1.2271350622177124
Informer,jena,full,1,0.1,3.4268763065338135,5.549386978149414,2.9686203002929688,3.73238754272461,7.175113677978516,9.68117904663086,2.7192349433898926,3.744459390640259,0.8445382714271545,1.2271332740783691
Informer,jena,full,1,0.2,3.4374096393585205,5.562982082366943,2.9722654819488525,3.7426137924194336,7.198984146118164,9.700096130371094,2.7317428588867188,3.764742612838745,0.8466437458992004,1.2307608127593994
Informer,jena,full,2,0.0,3.459950685501098,5.656342029571533,2.8966965675354004,3.5674455165863037,7.578845500946045,10.080679893493652,2.4858508110046387,3.4837958812713623,0.8784036636352539,1.2219600677490234
Informer,jena,full,2,0.05,3.46533465385437,5.665956497192383,2.8987975120544434,3.5728650093078613,7.597257614135742,10.098386764526367,2.4854862689971924,3.4889333248138428,0.8797996640205383,1.2234165668487549
Informer,jena,full,2,0.1,3.469317674636841,5.670523166656494,2.9030075073242188,3.5768916606903076,7.603435516357422,10.106771469116213,2.490048885345459,3.489722728729248,0.8807803392410278,1.2248088121414185
Informer,jena,full,2,0.2,3.4822487831115723,5.69149923324585,2.9070301055908203,3.5814695358276367,7.628663063049316,10.139602661132812,2.5120999813079834,3.5256686210632324,0.8812025189399719,1.2263284921646118
Informer,jena,full,3,0.0,3.567882537841797,5.7875471115112305,3.2934720516204834,3.9981420040130615,7.540063858032227,10.18239688873291,2.5824344158172607,3.582476854324341,0.8555608987808228,1.2175124883651731
Informer,jena,full,3,0.05,3.5725607872009277,5.790283203125,3.2944860458374023,3.9993085861206055,7.544339656829834,10.179264068603516,2.595874547958374,3.6075398921966553,0.8555432558059692,1.217910885810852
Informer,jena,full,3,0.1,3.575758695602417,5.798489093780518,3.3010923862457275,4.0068745613098145,7.55489444732666,10.19698715209961,2.5907692909240723,3.601226568222046,0.8562828898429871,1.2196279764175415
Informer,jena,full,3,0.2,3.586127758026123,5.809142589569092,3.298430919647217,4.004897117614746,7.579086780548096,10.214570999145508,2.6082231998443604,3.6213924884796143,0.8587701916694641,1.2220689058303833
Informer,jena,full,4,0.0,3.408442974090576,5.548782825469971,2.8127896785736084,3.497103452682495,7.362631320953369,9.819157600402832,2.6122920513153076,3.609914302825928,0.846060574054718,1.2161040306091309
Informer,jena,full,4,0.05,3.418025255203247,5.562067031860352,2.8248536586761475,3.5108704566955566,7.388604164123535,9.845674514770508,2.6113550662994385,3.605661153793335,0.8472912907600403,1.2174034118652344
Informer,jena,full,4,0.1,3.4213709831237793,5.565543174743652,2.821737766265869,3.5091679096221924,7.391227722167969,9.847100257873535,2.624039888381958,3.624502420425415,0.8484799265861511,1.218356966972351
Informer,jena,full,4,0.2,3.429335594177246,5.5774970054626465,2.823000192642212,3.5083463191986084,7.411797523498535,9.872603416442873,2.633195638656616,3.628812313079834,0.8493508100509644,1.220177173614502
LSTM,jena,full,0,0.0,3.380406141281128,5.574488162994385,2.4944324493408203,3.177187442779541,7.618510723114014,9.99423885345459,2.5271008014678955,3.564601182937622,0.8815818428993225,1.27041494846344
LSTM,jena,full,0,0.05,3.382371664047241,5.57684326171875,2.4939870834350586,3.17651891708374,7.624504089355469,9.999037742614746,2.5288655757904053,3.566256284713745,0.8821287155151367,1.2710407972335815
LSTM,jena,full,0,0.1,3.3848209381103516,5.5797576904296875,2.4931397438049316,3.1752936840057373,7.631875514984131,10.004839897155762,2.5317652225494385,3.5691823959350586,0.8825029730796814,1.2713871002197266
LSTM,jena,full,0,0.2,3.3918814659118652,5.5889811515808105,2.491740465164185,3.1726598739624023,7.652517795562744,10.022799491882324,2.538997173309326,3.578176975250244,0.8842704892158508,1.2732787132263184
LSTM,jena,full,1,0.0,3.3416738510131836,5.555502891540527,2.5641562938690186,3.270162582397461,7.547298908233643,9.975954055786133,2.374914169311523,3.412383794784546,0.8803262114524841,1.2635149955749512
LSTM,jena,full,1,0.05,3.3436877727508545,5.5577569007873535,2.5636134147644043,3.269714593887329,7.5525102615356445,9.979827880859377,2.3779122829437256,3.4159464836120605,0.8807187676429749,1.2640937566757202
LSTM,jena,full,1,0.1,3.346302032470703,5.56134557723999,2.563157796859741,3.2694122791290283,7.559889316558838,9.986390113830566,2.3808913230895996,3.420184373855591,0.8812713027000427,1.264729142189026
LSTM,jena,full,1,0.2,3.3532960414886475,5.5690693855285645,2.5620434284210205,3.2684950828552246,7.576530456542969,9.999327659606934,2.391806364059448,3.4327826499938965,0.8828051090240479,1.2667124271392822
LSTM,jena,full,2,0.0,3.333202362060547,5.570013046264648,2.3006269931793213,2.961940288543701,7.663212299346924,10.061519622802734,2.4784646034240723,3.5330991744995117,0.8905017971992493,1.2689039707183838
LSTM,jena,full,2,0.05,3.335074663162231,5.572605133056641,2.3007187843322754,2.9615628719329834,7.668875217437744,10.066655158996582,2.479790210723877,3.53499436378479,0.890915036201477,1.2693002223968506
LSTM,jena,full,2,0.1,3.337366104125977,5.575141906738281,2.3009941577911377,2.961333990097046,7.674686431884766,10.071541786193848,2.4823760986328125,3.537078380584717,0.891412079334259,1.269832730293274
LSTM,jena,full,2,0.2,3.345045804977417,5.584811210632324,2.303551435470581,2.964052438735962,7.693622589111328,10.08914852142334,2.4899282455444336,3.5449111461639404,0.8930768370628357,1.2718085050582886
LSTM,jena,full,3,0.0,3.37534236907959,5.566741943359375,2.4575812816619873,3.127638816833496,7.626745700836182,9.99127197265625,2.5292274951934814,3.570279359817505,0.8878117799758911,1.2648696899414062
LSTM,jena,full,3,0.05,3.3775484561920166,5.569465160369873,2.4576151371002197,3.1274876594543457,7.63316011428833,9.996657371520996,2.531285524368286,3.5722079277038574,0.8881341218948364,1.265216588973999
