dataset,model,seed,a_val_T,a_oracle_T,sd_ratio_T,MSE_T_before,MSE_T_after,a_val_RH,a_oracle_RH,sd_ratio_RH,MSE_RH_before,MSE_RH_after,a_val_P,a_oracle_P,sd_ratio_P,MSE_P_before,MSE_P_after,a_val_WS,a_oracle_WS,sd_ratio_WS,MSE_WS_before,MSE_WS_after,MAE_before,MAE_after,RMSE_before,RMSE_after
jena,Autoformer,0,0.7930787017825583,0.9170976731641246,1.0013166569353769,11.858461636898381,11.415121259815551,0.8612378534260697,0.8748623876093627,0.8715188989650098,113.87419568266805,111.22439066169915,0.806700830477934,0.8365976608918521,0.9853718942627655,24.62103118802954,23.013523404035745,0.7447881615721318,0.7181988068321881,0.658928829925066,1.7692807797949561,1.6946433338432272,3.890559493171568,3.879888438933476,6.166907030420333,6.069342605657422
jena,Autoformer,1,0.7936333871722163,0.8886603109100889,1.0365616639929842,12.320314904683418,10.79440938904253,0.8595952503359607,0.8584887941307917,0.8965489808678859,112.15849969470398,107.68711820802409,0.8101317650334563,0.8488219049209706,0.9778747094998324,22.725275283736586,21.307149178106624,0.7835019063098705,0.8049984773935854,0.5847561858951267,1.797510902663278,1.7630320606034704,3.8377221302463176,3.7947906519518186,6.103310593149165,5.948775269662166
jena,Autoformer,2,0.7975916722299776,0.8788685938838551,1.0466471048947974,12.125635268505949,10.628805704536349,0.8825988591933366,0.8732292648825559,0.8712468069737934,117.86163623695757,116.10838535872647,0.7757764192125629,0.8170263099582162,0.9953841698265167,25.387559767205826,23.276383822239733,0.7812921113012672,0.7764184920770507,0.5857244366891895,1.8208003517251492,1.781242916076517,3.967543717515688,3.9058209971365803,6.268884103737971,6.160251979456259
jena,Autoformer,3,0.8371847299520347,0.9244975367831475,0.9941375613539957,11.374294830285582,10.801891215142618,0.9022969719666748,0.8937267996631298,0.8357055212772845,118.95736428686972,117.10773089098096,0.7360994788336798,0.7932432732007464,1.043211740116275,24.782624905757945,21.80159491005748,0.7648870430063902,0.7596671548515709,0.6054436753314455,1.8114116721400975,1.764131530262309,3.906058555458811,3.873652557759323,6.2634993353367046,6.153766093751928
jena,Autoformer,4,0.7979489418399938,0.8910122717935648,1.0357328643961754,12.998432956489342,11.037156568909277,0.8575847447704432,0.8849653146474464,0.848883550752741,117.62108580907028,115.35566010502055,0.7940839277493511,0.8502554698847364,0.9851608145828916,22.00028409647365,20.72287084048313,0.7142548538393523,0.7514010319748721,0.6061045721030967,1.835455622157513,1.7843025140607611,3.9172491703180494,3.8661577436423165,6.214001498313924,6.101229180019255
jena,Crossformer,0,0.8367061513735293,0.9743088614729188,0.9622476220451187,8.725925388183024,9.222047499413092,1.004753465589207,0.9914045947523309,0.8326706785461551,86.63467430208618,86.61943461916684,1.0640307232149577,1.0844277896367116,0.8577839663543196,9.639360563102736,9.283058867686984,1.0842105919158955,1.0507282937367979,0.5565206096711056,1.4681302209527245,1.4688044154968993,3.084325937074059,3.077755699708539,5.159168791441232,5.162202664603644
jena,Crossformer,1,0.7176685583805724,0.8619105730715791,1.074782158987305,10.851148225175933,11.270855330890472,0.939132764595838,0.942221103654817,0.875504269088325,85.95230109987925,85.02532360385372,1.0360793902653156,1.0472169211616387,0.8875953301877245,9.667446435660905,9.533525687682332,1.0541804136472692,1.0073848360452426,0.5845444178274033,1.475530617883188,1.479005282960085,3.103415285406557,3.127278265662885,5.194863481810646,5.179495870868772
jena,Crossformer,2,0.8427685226094787,0.9721696038853129,0.9639221196814016,10.224173615710868,10.019201869377492,0.9296183254159277,0.9344891834612681,0.8866595769177906,85.10017345929255,83.80851415783475,1.0686646426451527,1.0784376910709537,0.8623423747906852,10.18025678345055,9.824694076496963,1.1752960996445532,1.1470606930119815,0.519814048708262,1.457452954943218,1.4494215244696815,3.1290026928703765,3.1159646934857332,5.171123108508372,5.1259592182385445
jena,Crossformer,3,0.7889653451774499,0.9294743747992968,1.0044039967278326,9.778481690651937,9.83196740062169,1.0043716983655038,1.0064820697865615,0.818901736465005,85.0110876352589,84.99320124547302,1.0489385364478159,1.065787266562497,0.8736992140011428,9.295887033786261,9.081289796179627,1.0799534763665994,1.0561423274785982,0.5571598745864824,1.4309324693357734,1.4297305644970781,3.0994888198792867,3.0810626039787636,5.136058528410498,5.131670999946591
jena,Crossformer,4,0.8635040446312433,0.9890560137432899,0.9475044068213192,10.493031342122364,10.280628966840336,0.9861913096878997,0.9840015295817931,0.8359846106100236,85.46977144695411,85.42856433062488,0.9786694956715325,0.9834938298770413,0.9450681899252967,9.484138355380608,9.47957044425158,1.0811408248805747,1.047834850639795,0.5639864172184987,1.4569476593053419,1.4579911727974022,3.1200327284636638,3.1138698681855885,5.169716839531988,5.163495785669681
jena,DLinear,0,1.0347654076367747,1.056931059108564,0.8893299336655568,7.827061865094811,7.726705100642902,0.9321986162873234,0.9271286910086106,0.8368306966519591,106.4755758391721,105.75327457316794,1.0112734854516305,1.0320901396797628,0.8455479508826642,16.311337550837326,16.283272547993715,0.6954301509643682,0.6978363542328003,0.7668619614780257,1.6786163400911456,1.5646176945208623,3.4168265553663417,3.4270443605087686,5.750925829707669,5.7299186276143015
jena,DLinear,1,1.0192797671120475,1.0404977896707226,0.9036085351069031,7.722001330632654,7.681356373098371,0.9221182375046065,0.9185120848900366,0.844185714191102,106.87986611026209,105.91749455469616,0.9910515192359076,1.0115011006027854,0.8621052412188486,16.349224037464,16.362777673652488,0.688485090167923,0.690572536322426,0.773900018282554,1.6876435035740471,1.5656011948461486,3.4190296375309743,3.4311245397687733,5.75844455955627,5.73426607763132
jena,DLinear,2,1.0151281692315495,1.0359153691824676,0.9071474146238204,7.76849926267606,7.741581385490766,0.9212666616061741,0.916795839934546,0.8460719769242513,106.82500775398499,105.81140104646119,0.9924716644678536,1.0127723865381144,0.8580469076411334,16.711114258341848,16.722693752890844,0.694888247394252,0.6976548302539572,0.7667996468035126,1.6785867364410478,1.5643542558446175,3.430072210691404,3.4427279583925294,5.7659172733278945,5.741080700545139
jena,DLinear,3,1.0188391602586873,1.0399050822490992,0.9037153309132189,7.773958574579534,7.7357091229930335,0.9229941337468108,0.9189710113554973,0.842923676433708,107.1864838729403,106.24230174044907,0.9900957523756279,1.0116636343610532,0.8599652959834819,16.590813667710993,16.606316243731687,0.6965740155798309,0.6992592423617254,0.7642999733195617,1.6778706743684404,1.5656210414822969,3.4349997817285733,3.448016400007089,5.77124611305044,5.7478245482237895
jena,DLinear,4,1.0330560660323354,1.0554240807242823,0.8905617787272528,7.818799901668621,7.720893128048614,0.927672543678449,0.9233285722455795,0.8409846970478986,106.28650114752753,105.45312105009721,1.0124776033250815,1.0335289297651915,0.8448276097322844,16.25748330726935,16.225206606120228,0.6936793359610615,0.6962667879170279,0.7689349966033661,1.6795621740567834,1.563595728400633,3.4142145781300495,3.424375387708,5.7454840207445175,5.721949329395242
