model,dataset,ablation,seed,missing_rate,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,lambda_ent,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
Crossformer,jena,full,0,0.0,0.0,1695908.0,1447.0,8.26,0.1451230381237013,14,96,24,256,2.0,0.0005,3.084325790405273,5.159168243408203,26.617015838623047,22.145170211791992,0.6812766790390015,2.362235307693481,2.953967809677124,7.006467342376709,9.307774543762209,10.479021072387695,2.136756658554077,3.104732036590576,0.2158024758100509,0.8318455219268799,1.2116643190383911,1.5443588495254517,2.3792564868927,2.61399245262146,4.518588542938232,3.204812526702881,5.343021869659424,3.896419763565064,6.141149520874023,0.748858570606845,0.2230084392098673,0.9980907317478106,0.3645611455167029,0.980465843101384,0.7980447389097369,0.0721796807592752
Crossformer,jena,full,1,0.0,0.0,1695908.0,1384.3,8.44,0.1522617967674733,13,96,24,256,2.0,0.0005,3.10341477394104,5.194863319396973,26.986602783203125,22.94019317626953,0.6728706955909729,2.553022861480713,3.2941081523895264,6.897650241851807,9.27104663848877,9.86282444000244,2.133199691772461,3.1092517375946045,0.2152879983186721,0.82978755235672,1.2147141695022583,1.3774129152297974,2.2405478954315186,2.6217877864837646,4.489779949188232,3.268423318862915,5.460126876831055,3.914939641952514,6.1644287109375,0.7404970760233918,0.2174533886433677,0.9986718133897812,0.3571417969155868,0.9795930338251304,0.7756724350635555,0.0721796807592752
Crossformer,jena,full,2,0.0,0.0,1695908.0,1331.2,8.45,0.1505704373780605,13,96,24,256,2.0,0.0005,3.129002571105957,5.171123027801514,26.740514755249023,22.454891204833984,0.676253616809845,2.603040933609009,3.197526216506958,6.843099117279053,9.2249755859375,9.707502365112305,2.2417526245117188,3.1906514167785645,0.2262043952941894,0.8281193971633911,1.2072501182556152,1.5697085857391355,2.328381299972534,2.694355010986328,4.506937980651856,3.2083139419555664,5.274782180786133,3.936379432678223,6.148126125335693,0.7795513373597929,0.2461973968963784,0.9963059809903292,0.3948286071452069,0.9802720169430778,0.7923736659117909,0.0721796807592752
Crossformer,jena,full,3,0.0,0.0,1695908.0,1267.3,8.29,0.1468481866722008,12,96,24,256,2.0,0.0005,3.0994889736175537,5.136058807373047,26.379100799560547,22.68974494934082,0.6843172311782837,2.515026330947876,3.12705659866333,6.955880641937256,9.22014617919922,10.275818824768066,2.0804009437561035,3.0489158630371094,0.2101751267910003,0.8466469049453735,1.1962158679962158,1.4644620418548584,2.251842498779297,2.600995779037476,4.4373064041137695,3.216109275817871,5.289608001708984,3.906116247177124,6.101138591766357,0.7608690441951874,0.2315577521508328,0.9975926617689784,0.3758698881851591,0.9795763106199472,0.783349416688069,0.0721796807592752
Crossformer,jena,full,4,0.0,0.0,1695908.0,1233.0,8.34,0.1497654171613794,12,96,24,256,2.0,0.0005,3.120033025741577,5.169716358184815,26.72596740722656,22.5693473815918,0.677491307258606,2.6193835735321045,3.23929500579834,6.933000087738037,9.244986534118652,10.137410163879396,2.097515106201172,3.079632520675659,0.2118121832609176,0.8302323222160339,1.2070409059524536,1.5049161911010742,2.284231185913086,2.666141986846924,4.5272603034973145,3.231998920440674,5.392726898193359,3.9354519844055176,6.12558126449585,0.7842308982839613,0.2502110716184242,0.9963474868218984,0.39997667288723,0.9779960382581308,0.7783479564229423,0.0721796807592752
XAI-MeteoFormer,jena,no_revin,0,0.0,0.01,1892475.0,614.5,6.47,0.1419848216856734,19,96,24,256,2.0,0.0005,2.985109329223633,5.230233192443848,27.3553409576416,21.2531967163086,0.6853750944137573,1.935223937034607,2.5557546615600586,7.064473628997803,9.585891723632812,10.121317863464355,2.091470956802368,3.0878584384918213,0.2112388610839843,0.8492703437805176,1.2104933261871338,1.1513545513153076,1.9931799173355105,2.523374557495117,4.639891624450684,3.163533926010132,5.455183506011963,3.802412509918213,6.158139228820801,0.9439621081392005,0.5737435672834775,0.8699622296932719,0.6914639175257732,0.9787744160348628,0.7942942018077146,0.0721796807592752
XAI-MeteoFormer,jena,no_revin,1,0.0,0.01,1892475.0,585.5,6.53,0.1437401958366584,18,96,24,256,2.0,0.0005,3.0020272731781006,5.240152835845947,27.459199905395508,21.661571502685547,0.686218798160553,1.9170947074890137,2.5194480419158936,7.130294322967529,9.617507934570312,10.45119285583496,2.109661817550659,3.087652444839477,0.2130251824855804,0.8510564565658569,1.20792818069458,1.1815388202667236,2.083015918731689,2.486668825149536,4.563004016876221,3.1515066623687744,5.442286014556885,3.8963799476623535,6.263515949249268,0.9399086856485476,0.551066899536791,0.903623459096003,0.684622641509434,0.9801986529040652,0.7973620023121316,0.0721796807592752
XAI-MeteoFormer,jena,no_revin,2,0.0,0.01,1892475.0,715.2,6.48,0.1443549327430177,22,96,24,256,2.0,0.0005,3.034393548965454,5.319503307342529,28.2971134185791,21.89507102966309,0.6750360727310181,1.9440116882324217,2.5250422954559326,7.196993350982666,9.75610637664795,10.306500434875488,2.147135972976685,3.180572986602783,0.2167572528123855,0.8494334816932678,1.230838418006897,1.1798148155212402,2.079041004180908,2.522883415222168,4.659372806549072,3.2166011333465576,5.557553291320801,3.910281181335449,6.311227321624756,0.940265195091554,0.5557553956834532,0.8592952309799526,0.6749694351617899,0.9765259914409952,0.7756915611974532,0.0721796807592752
XAI-MeteoFormer,jena,no_multiscale,0,0.0,0.01,1755550.0,503.5,5.6,0.1513174280273487,21,96,24,256,2.0,0.0005,3.089691638946533,5.385769367218018,29.00651359558105,21.67612266540528,0.6678268313407898,1.946218967437744,2.624295234680176,7.339657783508301,9.854530334472656,10.570616722106934,2.199702501296997,3.239535093307495,0.2222628146409988,0.873187780380249,1.2380590438842771,1.1353639364242554,2.017906665802002,2.582415580749512,4.682748794555664,3.292386531829834,5.645417213439941,3.9469499588012695,6.351908206939697,0.8605179273319912,0.3102201496950343,0.7620885734445689,0.4409462055715658,0.9117214214765228,0.4520397175698534,0.0721796807592752
XAI-MeteoFormer,jena,no_multiscale,1,0.0,0.01,1755550.0,552.1,5.65,0.15220641638788,23,96,24,256,2.0,0.0005,3.1356008052825928,5.468153953552246,29.900707244873047,21.86034393310547,0.6625005006790161,1.9777737855911253,2.6537554264068604,7.479403495788574,10.021254539489746,10.785780906677246,2.203067779541016,3.254420518875122,0.2226230651140213,0.8821561336517334,1.2424405813217163,1.045604586601257,1.8947454690933228,2.58354926109314,4.721536636352539,3.377819538116455,5.792064189910889,4.022308349609375,6.461676597595215,0.8263199837024254,0.2693166653048996,0.820860830946748,0.4055697396618372,0.908223127955298,0.416932674504873,0.0721796807592752
