model,dataset,ablation,seed,missing_rate,lambda_ent,norm_variant,width,loss,aug_block,bl_d_model,bl_d_ff,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
iTransformer,jena,full,1,0.0,0.0,off,default,huber,0.5,,,1611032,480.2,2.58,0.1635473424499325,19,96,24,256,2,0.0005,3.2861039638519287,5.573852062225342,31.067827224731445,23.2724838256836,0.6294844746589661,2.4106225967407227,3.1249420642852783,7.484545707702637,10.066378593444824,10.788481712341309,2.3367106914520264,3.3864874839782715,0.2360715270042419,0.9125329852104188,1.3060518503189087,1.3559463024139404,2.2308924198150635,2.7327921390533447,4.810035705566406,3.465822219848633,5.807666778564453,4.220666408538818,6.646262645721436,0.7036837311858882,0.1955695532931305,0.9974266384427012,0.3270191195482071,0.9690833391028568,0.7084080226511684,0.0721796807592752
iTransformer,jena,full,3,0.0,0.0,off,default,huber,0.5,,,1611032,357.9,2.64,0.1646450834507418,14,96,24,256,2,0.0005,3.2776312828063965,5.55017614364624,30.80445671081543,23.242076873779297,0.6306377649307251,2.399066209793091,3.13631010055542,7.471591472625732,10.01203727722168,10.760461807250977,2.3250539302825928,3.381886005401612,0.2349620163440704,0.9148125052452089,1.305117130279541,1.3178894519805908,2.243557929992676,2.757495164871216,4.860607147216797,3.4988956451416016,5.7874956130981445,4.181503772735596,6.557806491851807,0.6886893634359121,0.1880764060399537,0.9987963308844892,0.316546194776409,0.970077715626568,0.7082953630140963,0.0721796807592752
DLinear,jena,full,0,0.0,0.0,off,default,huber,0.5,,,4656,290.7,2.86,0.1732672708027684,17,96,24,256,2,0.0005,3.411670923233032,5.742476940155029,32.976043701171875,23.075897216796875,0.6170418858528137,2.120136260986328,2.7934799194335938,7.660122871398926,10.289546966552734,11.306917190551758,2.937796115875244,4.06770658493042,0.2967858016490936,0.9286316633224488,1.296040415763855,1.001265048980713,1.79352605342865,2.974007129669189,5.1017746925354,3.748894453048706,6.146398544311523,4.199467658996582,6.587415218353272,0.6618313201035375,0.1756617544987616,0.9979247084215332,0.298737605924306,0.9651798652702877,0.6931051654144742,0.0721796807592752
DLinear,jena,full,2,0.0,0.0,off,default,huber,0.5,,,4656,250.6,2.72,0.1720948209679388,15,96,24,256,2,0.0005,3.4074487686157227,5.734809875488281,32.88804244995117,23.13077545166016,0.61847323179245,2.137141704559326,2.81766676902771,7.659092903137207,10.277630805969238,11.28886604309082,2.907797336578369,4.03867769241333,0.2937247455120086,0.9257625937461852,1.293157696723938,0.9697976112365724,1.7819145917892456,2.9651198387146,5.082432270050049,3.746947050094605,6.139627933502197,4.187686443328857,6.596686840057373,0.6595484613172274,0.1747128440966849,0.99813223757938,0.2973734975515655,0.9658679400307716,0.6951405897157649,0.0721796807592752
DLinear,jena,full,4,0.0,0.0,off,default,huber,0.5,,,4656,180.7,2.36,0.1741409446197256,11,96,24,256,2,0.0005,3.439860343933105,5.766839504241943,33.256439208984375,23.163009643554688,0.6153591871261597,2.140516996383667,2.810641050338745,7.701316356658935,10.323877334594728,11.32167911529541,2.9912941455841064,4.107136249542236,0.3021689057350158,0.9263188242912292,1.2942345142364502,1.1419954299926758,2.007673501968384,3.022424459457397,5.159256458282471,3.747796535491944,6.1585373878479,4.202311992645264,6.594790458679199,0.6587395743457003,0.1743519089228092,0.9979662142531026,0.2968431709033445,0.9641636707745808,0.6872106952491205,0.0721796807592752
DLinear,beijing_aotizhongxin,full,1,0.0,0.0,off,default,huber,0.5,,,4656,158.1,1.8,0.1820738986948439,19,96,24,256,2,0.0005,4.349648475646973,8.381624221801758,70.25161743164062,27.655649185180664,0.6202051043510437,2.0099449157714844,2.62650203704834,11.859682083129885,16.065284729003906,29.3457088470459,2.805274724960327,3.873847007751465,0.2763251364231109,0.7236899733543396,1.0039362907409668,1.5597472190856934,3.047428607940674,3.798737764358521,7.282492160797119,4.737927913665772,8.950078964233398,5.29862117767334,9.702678680419922,0.6995105148658448,0.3663748614243663,1.0,0.536272836639342,0.9721717621017476,0.8667454533951259,0.1737490935460478
DLinear,beijing_aotizhongxin,full,3,0.0,0.0,off,default,huber,0.5,,,4656,133.2,1.68,0.182800328939194,16,96,24,256,2,0.0005,4.357717514038086,8.400059700012207,70.56099700927734,27.64385032653809,0.6191805601119995,1.9947320222854608,2.624596357345581,11.884648323059082,16.100181579589844,29.42057037353516,2.825838565826416,3.889779806137085,0.2783870995044708,0.7256476879119873,1.0045753717422483,1.5168118476867676,3.0166804790496826,3.822797298431397,7.303393363952637,4.755486965179443,8.965611457824707,5.291147232055664,9.70340633392334,0.6995346869712352,0.3663935366304334,1.0,0.5362928421543484,0.972489206496058,0.8659651691122605,0.1737490935460478
LSTM,beijing_aotizhongxin,full,0,0.0,0.0,on,default,huber,0.5,,,833668,127.8,2.0,0.1773507184411418,10,96,24,256,2,0.0005,4.292479991912842,7.984701633453369,63.755462646484375,27.52372932434082,0.6429526209831238,2.6370503902435303,3.4252769947052,11.312349319458008,15.169716835021973,26.111326217651367,2.518653631210327,3.495344400405884,0.2481674998998642,0.701871395111084,0.9755088686943054,2.63508939743042,4.621938705444336,3.693075180053711,6.891656398773193,4.394272804260254,8.133759498596191,5.320748805999756,9.59486198425293,0.7134155184916606,0.3774417139256458,1.0,0.5480329368709973,0.970974429770139,0.8553884321264379,0.1737490935460478
LSTM,beijing_aotizhongxin,full,2,0.0,0.0,on,default,huber,0.5,,,833668,128.2,2.0,0.1787484987254758,10,96,24,256,2,0.0005,4.273245811462402,8.0014066696167,64.02250671386719,27.197643280029297,0.6434376239776611,2.574917316436768,3.3555257320404053,11.355179786682127,15.230291366577148,27.0839958190918,2.479105234146118,3.452033042907715,0.2442920506000518,0.6837828159332275,0.9757835268974304,2.666311264038086,4.739258766174316,3.658017635345459,6.894086837768555,4.342939853668213,8.14697265625,5.315261363983154,9.570629119873049,0.7118503746676336,0.3761627526656636,1.0,0.5466835255307215,0.9709557971806992,0.8534219768584669,0.1737490935460478
LSTM,beijing_aotizhongxin,full,4,0.0,0.0,on,default,huber,0.5,,,833668,139.0,1.79,0.1815624148806253,11,96,24,256,2,0.0005,4.410843849182129,8.207704544067383,67.36641693115234,28.01128387451172,0.6360215544700623,2.685150623321533,3.4663705825805664,11.681050300598145,15.617949485778809,26.716703414916992,2.5762689113616943,3.5468063354492188,0.25394007563591,0.7009033560752869,0.9745585918426514,2.6222331523895264,4.537242889404297,3.7517707347869873,6.939747333526611,4.523260593414307,8.415343284606934,5.397786617279053,9.6422700881958,0.7204193860285231,0.3832731247583881,1.0,0.5541539380739913,0.9673251233527608,0.8216178205940108,0.1737490935460478
